标题,地址,户型,关注,总价,均价,房源标签,房源链接
金地梅陇镇二期 3室2厅 560万,金地梅陇镇二期  | 3室2厅 | 108.57平米 | 南 | 其他 | 有电梯,中楼层(共24层)2007年建板塔结合  -  深圳北站,19人关注 / 共3次带看 / 9天以前发布,560万,单价51580元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101164925.html
房子小高层复试看花园 安静 使用率高  带一个车位,黄埔雅苑一期  | 5室2厅 | 197.13平米 | 北 | 其他 | 无电梯,低楼层(共8层)2001年建塔楼  -  莲花,1人关注 / 共3次带看 / 9天以前发布,1800万,单价91311元/平米,距离2号线(蛇口线)莲花西站496米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101165205.html
布吉 來座山精装高层山景大四房 可改5房 满五年 唯一,来座山  | 4室2厅 | 89.45平米 | 东南 | 精装 | 有电梯,高楼层(共32层)2011年建板塔结合  -  布吉慢城,4人关注 / 共4次带看 / 2个月以前发布,598万,单价66853元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101078698.html
新天地名居 精装四房 户型实用  赠送面积大 诚心出售,新天地名居  | 4室2厅 | 144.62平米 | 西南 | 精装 | 有电梯,中楼层(共31层)2005年建板塔结合  -  黄贝岭,3人关注 / 共1次带看 / 1个月以前发布,1200万,单价82977元/平米,距离9号线文锦站407米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101097179.html
近科技园 精装小两房 采光通风好  刚需好房,松坪村西区三期  | 2室1厅 | 49.29平米 | 东南 | 其他 | 有电梯,中楼层(共33层)2012年建  -  科技园,52人关注 / 共27次带看 / 2个月以前发布,325万,单价65937元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101062537.html
采光充足 高楼层 视野好 卧室厨房卫生间都看一线海景,碧海富通城四期  | 1室1厅 | 30.6平米 | 西南 | 精装,高楼层(共33层)2009年建板楼  -  碧海,5人关注 / 共0次带看 / 19天以前发布,190万,单价62092元/平米,房本满两年,https://sz.lianjia.com/ershoufang/105101151426.html
桃源村三期 地铁物业 安静三房 东北朝向 适合过渡居家,桃源村三期  | 3室2厅 | 79.09平米 | 东北 | 精装 | 有电梯,中楼层(共34层)2008年建塔楼  -  西丽,34人关注 / 共24次带看 / 1个月以前发布,460万,单价58162元/平米,距离7号线桃源村站598米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101103431.html
万象新天精装3房，交通便利，设施齐全。,万象新天  | 3室1厅 | 64.07平米 | 西北 | 精装 | 有电梯,低楼层(共14层)2013年建塔楼  -  西乡,33人关注 / 共24次带看 / 5个月以前发布,415万,单价64773元/平米,距离1号线(罗宝线）固戍站269米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100925903.html
精装，安静小两房，满五年，户型方正,红树绿洲  | 2室1厅 | 59.12平米 | 西北 | 精装 | 有电梯,低楼层(共28层)2007年建板塔结合  -  福田保税区,12人关注 / 共30次带看 / 6个月以前发布,370万,单价62585元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105100868324.html
嘉宝田花园三期两房，双阳台户型方正,嘉宝田花园  | 2室1厅 | 65.82平米 | 西 | 精装 | 有电梯,中楼层(共26层)2005年建塔楼  -  笋岗,13人关注 / 共25次带看 / 3个月以前发布,430万,单价65330元/平米,距离7号线笋岗站649米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100990396.html
万象天成精装房 中高楼层看花园  满五唯一税费少,万象天成  | 2室1厅 | 70.16平米 | 东南 | 精装 | 有电梯,中楼层(共26层)2009年建板塔结合  -  中心城东,37人关注 / 共18次带看 / 3个月以前发布,255万,单价36346元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105100995770.html
劲力城市明珠 朝南看花园 阳台和房间超大 满五唯一,劲力城市明珠  | 4室2厅 | 128.01平米 | 东南 | 简装 | 有电梯,低楼层(共26层)2006年建板塔结合  -  龙华中心,7人关注 / 共4次带看 / 3个月以前发布,550万,单价42966元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105100998241.html
翠堤湾实用三房 视野宽阔看香港米铺 满五年红本,金地海景翠堤湾  | 3室2厅 | 111.24平米 | 东南 | 其他 | 有电梯,中楼层(共31层)2000年建板塔结合  -  上下沙,35人关注 / 共22次带看 / 3个月以前发布,780万,单价70119元/平米,距离7号线沙尾站842米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101011668.html
中海怡美精装三房 省个税 楼层好 带入户花园,中海怡美山庄  | 3室2厅 | 103平米 | 西北 | 精装,中楼层(共6层)2005年建板塔结合  -  横岗,6人关注 / 共3次带看 / 1个月以前发布,380万,单价36894元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101106816.html
蔚蓝海岸2期 3室2厅 1260万,蔚蓝海岸2期  | 3室2厅 | 124.79平米 | 南 北 | 其他,中楼层(共29层)2002年建塔楼  -  后海,2人关注 / 共1次带看 / 14天以前发布,1260万,单价100970元/平米,距离2号线(蛇口线)登良站384米 | 房本满两年,https://sz.lianjia.com/ershoufang/105101158858.html
宏发领域 4室2厅 1250万,宏发领域  | 4室2厅 | 127.75平米 | 西南 东北 | 其他 | 有电梯,中楼层(共32层)2007年建板塔结合  -  宝安中心,3人关注 / 共1次带看 / 9天以前发布,1250万,单价97848元/平米,距离1号线(罗宝线）宝安中心站353米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101164379.html
金地梅陇镇二期 3室2厅 560万,金地梅陇镇二期  | 3室2厅 | 108.57平米 | 南 | 其他 | 有电梯,中楼层(共24层)2007年建板塔结合  -  深圳北站,19人关注 / 共3次带看 / 9天以前发布,560万,单价51580元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101164925.html
采光充足 高楼层 视野好 卧室厨房卫生间都看一线海景,碧海富通城四期  | 1室1厅 | 30.6平米 | 西南 | 精装,高楼层(共33层)2009年建板楼  -  碧海,5人关注 / 共0次带看 / 19天以前发布,190万,单价62092元/平米,房本满两年,https://sz.lianjia.com/ershoufang/105101151426.html
桃源村三期 地铁物业 安静三房 东北朝向 适合过渡居家,桃源村三期  | 3室2厅 | 79.09平米 | 东北 | 精装 | 有电梯,中楼层(共34层)2008年建塔楼  -  西丽,34人关注 / 共24次带看 / 1个月以前发布,460万,单价58162元/平米,距离7号线桃源村站598米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101103431.html
万象新天精装3房，交通便利，设施齐全。,万象新天  | 3室1厅 | 64.07平米 | 西北 | 精装 | 有电梯,低楼层(共14层)2013年建塔楼  -  西乡,33人关注 / 共24次带看 / 5个月以前发布,415万,单价64773元/平米,距离1号线(罗宝线）固戍站269米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100925903.html
布吉 來座山精装高层山景大四房 可改5房 满五年 唯一,来座山  | 4室2厅 | 89.45平米 | 东南 | 精装 | 有电梯,高楼层(共32层)2011年建板塔结合  -  布吉慢城,4人关注 / 共4次带看 / 2个月以前发布,598万,单价66853元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101078698.html
新天地名居 精装四房 户型实用  赠送面积大 诚心出售,新天地名居  | 4室2厅 | 144.62平米 | 西南 | 精装 | 有电梯,中楼层(共31层)2005年建板塔结合  -  黄贝岭,3人关注 / 共1次带看 / 1个月以前发布,1200万,单价82977元/平米,距离9号线文锦站407米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101097179.html
近科技园 精装小两房 采光通风好  刚需好房,松坪村西区三期  | 2室1厅 | 49.29平米 | 东南 | 其他 | 有电梯,中楼层(共33层)2012年建  -  科技园,52人关注 / 共27次带看 / 2个月以前发布,325万,单价65937元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101062537.html
世纪春城四期3+1户型，中间楼层，户型方正,世纪春城四期  | 3室2厅 | 111.84平米 | 东南 | 其他,中楼层(共31层)2008年建板塔结合  -  深圳北站,1人关注 / 共1次带看 / 12天以前发布,610万,单价54543元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101161728.html
正地铁口  大四房  一手业主自住超十年,名门世家  | 4室2厅 | 143.65平米 | 北 | 精装 | 有电梯,高楼层(共16层)2004年建板塔结合  -  横岗,24人关注 / 共3次带看 / 1个月以前发布,415万,单价28890元/平米,距离3号线(龙岗线)横岗站305米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101084394.html
桂芳园七期 4室2厅 480万,桂芳园七期  | 4室2厅 | 96.43平米 | 西南 | 其他 | 有电梯,高楼层(共18层)2005年建塔楼  -  布吉大芬,5人关注 / 共5次带看 / 15天以前发布,480万,单价49778元/平米,距离3号线(龙岗线)大芬站784米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101157035.html
碧湖花园看方正3房满2年便宜卖。,碧湖花园  | 4室2厅 | 91.44平米 | 东北 | 其他,高楼层(共33层)1995年建塔楼  -  洪湖,5人关注 / 共1次带看 / 8天以前发布,400万,单价43745元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101166754.html
汇景豪苑 正规两房 视野开阔 地铁口物业,汇景豪苑  | 2室1厅 | 65.25平米 | 北 | 简装 | 有电梯,高楼层(共32层)2001年建板塔结合  -  科技园,21人关注 / 共18次带看 / 3个月以前发布,428万,单价65594元/平米,距离1号线(罗宝线）深大站365米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101020908.html
滨海之窗 东南向三房 低楼层安静,滨海之窗  | 3室1厅 | 115.35平米 | 东南 | 精装 | 有电梯,低楼层(共30层)2004年建塔楼  -  后海,15人关注 / 共20次带看 / 2个月以前发布,1350万,单价117036元/平米,距离2号线(蛇口线)后海站827米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101076596.html
鼎太风华二期，万科物业前海自贸区，通透格局，朝花园,鼎太风华二期  | 4室2厅 | 148.61平米 | 东 西 | 简装 | 有电梯,中楼层(共11层)2003年建板楼  -  前海,4人关注 / 共5次带看 / 1个月以前发布,1280万,单价86132元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101128697.html
海景花园3房 看深圳湾海景 视野和采光都好 红本在手,海景花园  | 3室1厅 | 113.19平米 | 南 | 其他,低楼层(共32层)1992年建板塔结合  -  华侨城,10人关注 / 共4次带看 / 1个月以前发布,730万,单价64494元/平米,距离1号线(罗宝线）华侨城站615米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101101719.html
莲花北村 2室2厅 510万,莲花北村  | 2室2厅 | 83.24平米 | 东南 | 简装 | 有电梯,低楼层(共28层)1991年建板塔结合  -  莲花,20人关注 / 共18次带看 / 10个月以前发布,510万,单价61269元/平米,距离9号线梅景站1129米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100612068.html
俯瞰白沙岭公园 二期3房朝南户型 低市场价,百花公寓二期  | 3室2厅 | 111.64平米 | 西南 | 简装 | 有电梯,中楼层(共28层)1999年建塔楼  -  百花,14人关注 / 共22次带看 / 8个月以前发布,1195万,单价107041元/平米,距离3号线(龙岗线)华新站1031米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100741951.html
地铁口11号线 花园社区 户型方正 满五年红本在手,缤纷假日豪园  | 3室2厅 | 135.94平米 | 西南 | 其他,高楼层(共18层)2001年建板塔结合  -  南山中心,7人关注 / 共3次带看 / 13天以前发布,900万,单价66206元/平米,距离11号线南山站528米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101159418.html
高发西岸花园此户型只有一条腿有，高楼层适合住家。,第五大道高发西岸花园一期  | 5室2厅 | 166.17平米 | 东南 | 精装,高楼层(共28层)2007年建板塔结合  -  宝安中心,14人关注 / 共2次带看 / 12天以前发布,1435万,单价86358元/平米,距离11号线宝安站508米 | 房本满两年,https://sz.lianjia.com/ershoufang/105101160972.html
龙岗实验满园小区 高拓3+1房 视野无遮挡 满五年税费少,满园  | 4室2厅 | 132.23平米 | 南 | 精装 | 有电梯,高楼层(共21层)2007年建板塔结合  -  中心城南,19人关注 / 共8次带看 / 10个月以前发布,600万,单价45376元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105100647856.html
海印少有方正户型，独门独户业主诚心出售,海印长城  | 3室2厅 | 108.4平米 | 西北 | 精装 | 有电梯,中楼层(共17层)2002年建板塔结合  -  南山中心,38人关注 / 共23次带看 / 2个月以前发布,868万,单价80074元/平米,距离2号线(蛇口线)后海站1073米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101083831.html
一期唯一一套  双龙抱珠户型 厅出阳台 朝东南看校园,金泓凯旋城一期  | 3室2厅 | 131.11平米 | 东南 | 其他,高楼层(共32层)2006年建板塔结合  -  宝安中心,5人关注 / 共3次带看 / 9天以前发布,1000万,单价76272元/平米,距离1号线(罗宝线）新安站750米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101165087.html
聚宝华府小区，三居室新装修，高楼层，赏梧桐山美景。,聚宝华府  | 3室2厅 | 69.09平米 | 南 北 | 精装 | 有电梯,高楼层(共30层)2009年建板塔结合  -  莲塘,4人关注 / 共1次带看 / 8天以前发布,470万,单价68028元/平米,房本满两年,https://sz.lianjia.com/ershoufang/105101167175.html
带产权车位，东南向厅出阳台，卧室是南向，采光通风佳,天然居  | 3室2厅 | 118平米 | 东南 | 其他 | 有电梯,中楼层(共33层)2002年建板塔结合  -  景田,62人关注 / 共22次带看 / 7个月以前发布,1080万,单价91526元/平米,距离2号线(蛇口线)香梅北站147米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100792601.html
信义御城豪园    毛坯朝花园4房,信义御城豪园  | 4室2厅 | 134.15平米 | 南 | 毛坯 | 有电梯,中楼层(共32层)2013年建板塔结合  -  横岗,23人关注 / 共50次带看 / 一年前发布,680万,单价50690元/平米,距离3号线(龙岗线)横岗站732米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105100375882.html
小区新，东南向实用2房，近11号线,松茂御龙湾  | 2室1厅 | 76.95平米 | 东南 | 其他 | 有电梯,低楼层(共31层)2016年建板塔结合  -  碧海,16人关注 / 共23次带看 / 5个月以前发布,500万,单价64978元/平米,距离11号线碧海湾站556米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105100911370.html
笋岗一房一厅，南向，卧室出阳台，满五年,时尚新居  | 1室1厅 | 36.68平米 | 南 | 简装 | 有电梯,高楼层(共29层)2000年建板塔结合  -  笋岗,19人关注 / 共4次带看 / 29天以前发布,170万,单价46347元/平米,距离7号线笋岗站707米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101136068.html
布吉上水径地铁站 复式3房可改5房，双阳台送20平露台,丽湖花园二期  | 3室2厅 | 96.91平米 | 西南 | 其他 | 无电梯,高楼层(共9层)1999年建板塔结合  -  布吉水径,128人关注 / 共14次带看 / 3个月以前发布,295万,单价30441元/平米,房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101018037.html
中海康城 通透三房 户型方正 安静看花园 视野开阔,中海康城国际一期  | 3室1厅 | 76.41平米 | 西北 | 其他 | 有电梯,高楼层(共34层)2010年建板楼  -  大运新城,29人关注 / 共32次带看 / 3个月以前发布,325万,单价42534元/平米,房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101018281.html
中海康城精装3房，带车位，高楼层，东南朝向，安静！,中海康城国际一期  | 3室2厅 | 87.52平米 | 东南 | 精装 | 有电梯,中楼层(共34层)2009年建板楼  -  大运新城,20人关注 / 共25次带看 / 1个月以前发布,375万,单价42848元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101084280.html
华茂苑2房加1书房户型，安静，楼层好，地铁口物业,华茂苑  | 3室2厅 | 80平米 | 南 | 简装 | 无电梯,低楼层(共7层)1993年建板楼  -  梅林,26人关注 / 共32次带看 / 3个月以前发布,380万,单价47500元/平米,距离4号线(龙华线)莲花北站673米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101013573.html
花园城三期二号地块，红本无抵押,花园城三期  | 4室2厅 | 115平米 | 东 | 其他 | 有电梯,中楼层(共9层)2005年建板塔结合  -  蛇口,10人关注 / 共21次带看 / 4个月以前发布,1300万,单价113044元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100963829.html
满五年0增值税 68.26平方正2房 单价低，带两个大阳台,泊林花园  | 2室1厅 | 68.26平米 | 南 | 简装 | 有电梯,低楼层(共23层)2006年建板塔结合  -  翠竹,85人关注 / 共36次带看 / 4个月以前发布,370万,单价54205元/平米,距离3号线(龙岗线)水贝站689米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100966247.html
精装大四房 南北通风好看花园和高尔夫税少,润恒尚园  | 4室2厅 | 130.03平米 | 西北 | 简装 | 有电梯,低楼层(共29层)2015年建板塔结合  -  西乡,30人关注 / 共62次带看 / 4个月以前发布,780万,单价59987元/平米,房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105100944217.html
海昌大厦 温馨3房 南向 近地铁 滨海长廊,海昌大厦  | 3室2厅 | 73.21平米 | 南 | 精装 | 无电梯,低楼层(共7层)1989年建板塔结合  -  蛇口,5人关注 / 共26次带看 / 4个月以前发布,410万,单价56004元/平米,距离2号线(蛇口线)水湾站360米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100945753.html
叠翠新峰 两房两厅 厅出阳台 西南朝向 看房方便,叠翠新峰花园  | 2室2厅 | 67.34平米 | 西南 | 其他 | 有电梯,低楼层(共9层)2004年建板塔结合  -  中心城东,92人关注 / 共107次带看 / 7个月以前发布,230万,单价34156元/平米,距离3号线(龙岗线)南联站1019米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105100832928.html
半山半海大毛坯四房，有钥匙，业主诚心出售！,半山半海  | 4室2厅 | 195.03平米 | 南 北 | 毛坯 | 有电梯,低楼层(共22层)2015年建板塔结合  -  盐田港,50人关注 / 共33次带看 / 一年前发布,740万,单价37943元/平米,房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105100130901.html
鸿隆世纪广场 满五年 红本在手 南向三居室 随时可看,鸿隆世纪广场  | 3室1厅 | 97.5平米 | 南 | 其他 | 有电梯,低楼层(共35层)2010年建板塔结合  -  地王,20人关注 / 共35次带看 / 5个月以前发布,438万,单价44924元/平米,距离1号线(罗宝线）老街站261米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100909620.html
满五年红本在手！南北通透！精装修！钥匙随时看房！,万科东方尊峪  | 3室2厅 | 143平米 | 南 | 精装 | 有电梯,中楼层(共18层)2008年建板塔结合  -  莲塘,32人关注 / 共53次带看 / 4个月以前发布,810万,单价56644元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100975177.html
布吉大芬怡康家园精装三房，全新装修，业主急出手,怡康家园  | 3室1厅 | 69.48平米 | 西北 | 其他 | 有电梯,高楼层(共30层)2006年建板塔结合  -  布吉大芬,70人关注 / 共51次带看 / 2个月以前发布,278万,单价40012元/平米,距离3号线(龙岗线)大芬站332米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101039620.html
错层复式三房两卫 满两年 门口还有大平台,碧海富通城三期  | 3室1厅 | 56.92平米 | 东北 | 简装 | 有电梯,中楼层(共24层)2008年建塔楼  -  碧海,79人关注 / 共56次带看 / 3个月以前发布,415万,单价72910元/平米,距离11号线碧海湾站1191米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105100989123.html
皇御苑二期 3室2厅 580万,皇御苑二期  | 3室2厅 | 86.27平米 | 东北 | 其他 | 有电梯,高楼层(共32层)2003年建板塔结合  -  皇岗,24人关注 / 共50次带看 / 2个月以前发布,580万,单价67231元/平米,距离7号线皇岗口岸站999米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101060747.html
满五年 税费少 精装修四房  户型方正 通透采光通风好,阅山华府  | 4室1厅 | 123.06平米 | 南 北 | 其他 | 有电梯,中楼层(共32层)2010年建塔楼  -  中心城北,30人关注 / 共38次带看 / 4个月以前发布,468万,单价38031元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100967913.html
中粮幸福花园 精装两房 户型方正 高楼层 看花园全景,中粮幸福花园  | 3室1厅 | 39.88平米 | 东 | 其他 | 有电梯,中楼层(共27层)2009年建板塔结合  -  西乡,32人关注 / 共54次带看 / 4个月以前发布,243万,单价60933元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100945038.html
满两年 70年产权住宅 电梯两房 厅出阳台 翠小,翠竹苑  | 2室1厅 | 49.05平米 | 北 | 其他 | 有电梯,中楼层(共22层)1984年建板塔结合  -  百仕达,22人关注 / 共67次带看 / 5个月以前发布,290万,单价59124元/平米,距离3号线(龙岗线)翠竹站548米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105100926640.html
振业天峦 精装三房一卫 高层朝南看山 满二 诚心出售,振业天峦  | 3室2厅 | 88.18平米 | 南 | 精装 | 有电梯,高楼层(共33层)2014年建板塔结合  -  龙岗宝荷,46人关注 / 共38次带看 / 2个月以前发布,315万,单价35723元/平米,房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101075457.html
劲力城市明珠 4室2厅 460万,劲力城市明珠  | 4室2厅 | 101.72平米 | 南 | 其他 | 有电梯,中楼层(共12层)2005年建板塔结合  -  龙华中心,9人关注 / 共27次带看 / 2个月以前发布,460万,单价45223元/平米,房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101065865.html
新天地名居 南向精装大两居 户型方正 高赠送 住家之选,新天地名居  | 2室2厅 | 54.12平米 | 西南 | 其他 | 有电梯,低楼层(共31层)2004年建板塔结合  -  黄贝岭,35人关注 / 共74次带看 / 3个月以前发布,340万,单价62824元/平米,距离2号线(蛇口线)黄贝岭站458米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100992151.html
满两年 无增值税 业主自住 装修保养好,龙珠花园  | 2室1厅 | 59.7平米 | 西 | 其他 | 有电梯,中楼层(共30层)1999年建板塔结合  -  布吉站,47人关注 / 共37次带看 / 3个月以前发布,208万,单价34841元/平米,距离3号线(龙岗线)布吉站714米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101027924.html
金港华庭 地铁口标准三房 满五年 视野开阔 赠送面积大,金港华庭  | 3室2厅 | 86.89平米 | 东北 | 精装 | 有电梯,中楼层(共31层)2009年建板塔结合  -  西乡,49人关注 / 共26次带看 / 2个月以前发布,445万,单价51215元/平米,距离1号线(罗宝线）西乡站1045米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101057871.html
阳光花园电梯方正两居室业主诚心卖小区配套成熟,阳光花园  | 2室1厅 | 72.27平米 | 南 | 其他 | 有电梯,高楼层(共11层)2003年建板塔结合  -  布吉街,49人关注 / 共91次带看 / 8个月以前发布,285万,单价39436元/平米,距离5号线(环中线)下水径站833米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105100754192.html
水岸新都刚需2房 北向 视野好 诚心出售,佳兆业水岸新都  | 2室1厅 | 77.39平米 | 南 | 其他,中楼层(共28层)2007年建塔楼  -  中心城东,71人关注 / 共54次带看 / 7个月以前发布,228万,单价29462元/平米,房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105100821680.html
和平广场东南向三房带大阳台，快满五年税费少，有钥匙,和平广场  | 3室1厅 | 75.83平米 | 东南 西南 | 其他 | 有电梯,低楼层(共34层)2000年建板塔结合  -  地王,45人关注 / 共48次带看 / 2个月以前发布,370万,单价48794元/平米,距离1号线(罗宝线）老街站276米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101073198.html
满两年 无增值税 业主自住 装修保养好,龙珠花园  | 2室1厅 | 59.7平米 | 西 | 其他 | 有电梯,中楼层(共30层)1999年建板塔结合  -  布吉站,47人关注 / 共37次带看 / 3个月以前发布,208万,单价34841元/平米,距离3号线(龙岗线)布吉站714米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101027924.html
金港华庭 地铁口标准三房 满五年 视野开阔 赠送面积大,金港华庭  | 3室2厅 | 86.89平米 | 东北 | 精装 | 有电梯,中楼层(共31层)2009年建板塔结合  -  西乡,49人关注 / 共26次带看 / 2个月以前发布,445万,单价51215元/平米,距离1号线(罗宝线）西乡站1045米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101057871.html
方正四房 双阳台 南北通透采光好 高层视野开阔,新锦安雅园  | 4室1厅 | 147.87平米 | 西南 | 精装 | 有电梯,高楼层(共30层)2005年建板塔结合  -  翻身,14人关注 / 共29次带看 / 3个月以前发布,840万,单价56807元/平米,距离1号线(罗宝线）新安站980米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101021539.html
三房少见的南北通透户型，中间楼层，无遮挡，随时看房,鸿荣源尚峰  | 3室2厅 | 76.62平米 | 南 北 | 其他,中楼层(共30层)  -  布吉大芬,38人关注 / 共46次带看 / 3个月以前发布,395万,单价51554元/平米,房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101024142.html
世纪春城四期 2室2厅 540万,世纪春城四期  | 2室2厅 | 99.59平米 | 西南 | 其他 | 有电梯,中楼层(共26层)2008年建板塔结合  -  深圳北站,17人关注 / 共34次带看 / 6个月以前发布,540万,单价54223元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100867223.html
中海康城精装3房2卫看花园红本在手,中海康城国际一期  | 3室1厅 | 87.52平米 | 西南 | 精装 | 有电梯,中楼层(共34层)2009年建板楼  -  大运新城,103人关注 / 共149次带看 / 5个月以前发布,365万,单价41705元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100886012.html
金亨利首府 5室1厅 1200万,金亨利首府  | 5室1厅 | 133.25平米 | 东南 南 | 其他 | 有电梯,中楼层(共30层)2012年建板塔结合  -  深圳北站,12人关注 / 共21次带看 / 5个月以前发布,1200万,单价90057元/平米,距离4号线(龙华线)红山站534米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105100886383.html
大空港的辐射之地航空城，大三房，前后双阳台无遮挡,领航城领尚花园  | 3室2厅 | 88.85平米 | 南 | 毛坯,低楼层(共31层)2016年建板塔结合  -  西乡,1人关注 / 共22次带看 / 5个月以前发布,475万,单价53461元/平米,房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105100886481.html
深蓝季节，高楼层两房，东向可看海,深蓝季节  | 1室1厅 | 36.47平米 | 东南 | 其他 | 有电梯,高楼层(共32层)2007年建塔楼  -  后海,40人关注 / 共61次带看 / 2个月以前发布,305万,单价83631元/平米,房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101041425.html
世纪春城二期朝南低层两房，满两年，采光好,世纪春城二期  | 2室1厅 | 78.69平米 | 南 | 其他 | 无电梯,低楼层(共6层)2005年建板塔结合  -  深圳北站,34人关注 / 共40次带看 / 3个月以前发布,365万,单价46385元/平米,房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101007099.html
世纪春城大两房 客厅出阳台看花园 带电梯 采光充足,世纪春城三期  | 2室2厅 | 78.61平米 | 东北 | 其他 | 有电梯,中楼层(共16层)2007年建板塔结合  -  深圳北站,38人关注 / 共37次带看 / 3个月以前发布,385万,单价48976元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101012455.html
前海自贸 鼎太风华七期 深圳满五年 家庭唯一 诚心出售,鼎太风华七期  | 2室1厅 | 68.2平米 | 北 | 其他 | 有电梯,中楼层(共11层)2009年建板塔结合  -  前海,24人关注 / 共35次带看 / 2个月以前发布,520万,单价76247元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101062913.html
